call_id,customer_id,agent_id,call_date_time,call_duration_sec,issue_category,call_status,resolution_status,first_call_resolution
1,1784,19,2025-05-05 08:51:00,730,Complaint,Dropped,Escalated,1
2,4175,97,2025-04-27 09:21:00,431,Loan Status,Dropped,Resolved,1
3,4464,51,2025-05-19 02:23:00,762,Complaint,Dropped,Escalated,1
4,4882,50,2025-05-27 16:06:00,413,Loan Status,Dropped,Escalated,0
5,1245,7,2025-06-14 16:49:00,881,Product Inquiry,Dropped,Resolved,0
6,4247,78,2025-01-06 08:12:00,690,Loan Status,Escalated,Resolved,1
7,4110,81,2025-02-09 11:19:00,1160,Billing,Completed,Resolved,0
8,2500,17,2025-03-30 06:24:00,812,Billing,Escalated,Escalated,1
9,2705,72,2025-03-16 10:00:00,372,Loan Status,Completed,Pending,1
10,3806,71,2025-04-27 23:10:00,885,Product Inquiry,Dropped,Escalated,0
11,1537,23,2025-01-14 17:52:00,605,Product Inquiry,Escalated,Escalated,1
12,2890,57,2025-02-09 15:31:00,811,Billing,Completed,Resolved,1
13,2841,23,2025-03-26 16:40:00,532,Product Inquiry,Completed,Resolved,1
14,1920,58,2025-06-17 09:47:00,595,Complaint,Dropped,Pending,1
15,3455,26,2025-01-04 06:54:00,669,Technical,Dropped,Resolved,0
16,1524,58,2025-04-04 05:40:00,852,Complaint,Escalated,Escalated,1
17,3875,75,2025-02-07 20:08:00,721,Billing,Completed,Escalated,0
18,2529,80,2025-02-21 17:10:00,688,Product Inquiry,Completed,Pending,0
19,3950,20,2025-01-25 18:01:00,213,Loan Status,Dropped,Escalated,1
20,4896,19,2025-04-08 08:29:00,503,Technical,Escalated,Resolved,0
21,1035,53,2025-02-09 13:38:00,126,Loan Status,Escalated,Pending,0
22,1684,34,2025-05-10 07:56:00,365,Billing,Dropped,Pending,0
23,1019,44,2025-05-06 07:26:00,432,Product Inquiry,Escalated,Resolved,1
24,3368,10,2025-01-21 12:52:00,265,Loan Status,Completed,Pending,1
25,4847,89,2025-04-26 01:50:00,635,Loan Status,Dropped,Resolved,1
26,3559,92,2025-02-05 14:58:00,252,Technical,Dropped,Pending,0
27,1399,6,2025-01-12 10:36:00,945,Technical,Dropped,Escalated,0
28,3701,61,2025-06-16 05:24:00,652,Product Inquiry,Completed,Escalated,0
29,1971,59,2025-05-29 02:05:00,91,Technical,Completed,Escalated,1
30,2906,39,2025-02-22 20:32:00,268,Loan Status,Dropped,Pending,1
31,3518,25,2025-01-05 17:30:00,587,Loan Status,Dropped,Resolved,0
32,2166,49,2025-01-24 00:46:00,785,Billing,Escalated,Escalated,0
33,2115,84,2025-01-23 10:37:00,636,Loan Status,Escalated,Resolved,1
34,4425,95,2025-02-04 08:17:00,414,Product Inquiry,Completed,Resolved,0
35,1833,67,2025-01-21 15:37:00,972,Complaint,Escalated,Escalated,0
36,2823,38,2025-02-23 08:34:00,392,Billing,Escalated,Resolved,0
37,3774,49,2025-02-16 19:34:00,1194,Billing,Completed,Escalated,0
38,2982,79,2025-05-21 21:11:00,601,Product Inquiry,Completed,Resolved,0
39,1853,74,2025-02-09 15:40:00,1006,Product Inquiry,Escalated,Pending,1
40,1050,6,2025-04-26 14:10:00,989,Technical,Completed,Escalated,1
41,4736,5,2025-03-30 05:21:00,1108,Billing,Completed,Pending,1
42,4769,1,2025-06-10 14:28:00,1160,Technical,Escalated,Pending,1
43,1574,96,2025-04-30 13:10:00,316,Loan Status,Completed,Pending,0
44,4261,17,2024-12-29 00:48:00,930,Billing,Escalated,Resolved,0
45,2148,5,2025-02-09 08:17:00,916,Billing,Dropped,Resolved,1
46,3197,34,2025-04-21 23:32:00,723,Complaint,Escalated,Resolved,0
47,3361,86,2025-03-27 19:04:00,210,Billing,Escalated,Resolved,1
48,3617,9,2024-12-25 01:43:00,1149,Loan Status,Completed,Resolved,1
49,4413,62,2025-01-22 20:38:00,1056,Technical,Completed,Escalated,1
50,3352,28,2025-03-24 18:51:00,424,Technical,Completed,Resolved,1
51,2715,17,2025-01-24 13:42:00,327,Complaint,Escalated,Resolved,1
52,1681,86,2025-01-01 16:45:00,724,Loan Status,Completed,Pending,0
53,1837,78,2025-02-14 03:55:00,938,Technical,Dropped,Pending,1
54,4854,27,2025-02-08 17:42:00,169,Product Inquiry,Escalated,Escalated,0
55,2077,84,2025-01-24 12:52:00,779,Loan Status,Escalated,Resolved,1
56,4050,62,2025-01-17 15:09:00,39,Loan Status,Dropped,Resolved,1
57,3491,83,2025-06-21 04:36:00,926,Complaint,Escalated,Pending,1
58,3660,13,2025-05-03 07:22:00,982,Technical,Completed,Resolved,1
59,4040,53,2025-03-30 16:50:00,100,Loan Status,Dropped,Escalated,1
60,3311,77,2025-01-18 22:48:00,1172,Technical,Dropped,Resolved,0
61,4124,68,2025-02-28 11:15:00,936,Product Inquiry,Escalated,Escalated,0
62,2595,37,2025-02-27 01:48:00,156,Complaint,Dropped,Resolved,0
63,4051,12,2025-03-19 06:39:00,289,Product Inquiry,Escalated,Resolved,0
64,4691,97,2025-06-01 13:13:00,257,Complaint,Completed,Pending,0
65,1004,82,2025-01-04 20:22:00,474,Loan Status,Completed,Pending,0
66,2126,46,2025-04-28 12:29:00,807,Complaint,Completed,Pending,0
67,2219,31,2024-12-25 09:12:00,269,Billing,Completed,Resolved,1
68,1773,61,2025-04-25 11:11:00,409,Technical,Escalated,Pending,1
69,1876,59,2025-05-02 10:14:00,361,Technical,Dropped,Escalated,0
70,1991,84,2025-05-07 18:24:00,955,Billing,Escalated,Resolved,0
71,3931,93,2025-04-25 15:45:00,446,Product Inquiry,Completed,Resolved,1
72,4421,4,2025-01-02 06:31:00,194,Billing,Escalated,Pending,0
73,1046,71,2025-06-09 02:17:00,879,Loan Status,Completed,Escalated,1
74,3914,49,2025-03-28 05:19:00,268,Loan Status,Escalated,Resolved,0
75,3870,44,2025-02-21 15:08:00,308,Technical,Completed,Escalated,0
76,3983,70,2025-05-16 10:29:00,99,Loan Status,Completed,Resolved,1
77,4891,98,2025-02-19 03:09:00,48,Technical,Dropped,Resolved,1
78,3703,21,2025-05-18 06:55:00,267,Billing,Dropped,Pending,0
79,1268,89,2025-06-02 16:12:00,940,Billing,Escalated,Escalated,0
80,1369,66,2025-04-14 00:49:00,99,Billing,Dropped,Escalated,1
81,1635,60,2025-04-25 06:08:00,227,Technical,Completed,Resolved,1
82,2129,32,2025-06-10 12:16:00,1046,Billing,Dropped,Resolved,0
83,2693,68,2025-01-21 03:22:00,873,Billing,Completed,Resolved,0
84,2682,54,2025-04-29 18:53:00,223,Product Inquiry,Escalated,Escalated,0
85,1656,3,2025-05-14 21:57:00,161,Billing,Escalated,Escalated,0
86,1119,44,2025-04-13 23:29:00,404,Loan Status,Dropped,Escalated,0
87,1830,41,2025-02-20 00:54:00,1123,Technical,Completed,Escalated,1
88,2810,15,2025-05-23 12:58:00,796,Product Inquiry,Escalated,Pending,1
89,4675,97,2025-04-04 02:22:00,775,Complaint,Escalated,Resolved,1
90,2081,43,2025-03-03 14:18:00,400,Technical,Dropped,Resolved,1
91,2974,7,2025-01-06 06:26:00,259,Loan Status,Completed,Resolved,1
92,2369,4,2025-06-07 19:15:00,1195,Technical,Completed,Escalated,0
93,1740,97,2025-01-24 22:57:00,1136,Loan Status,Completed,Escalated,1
94,4545,16,2025-06-11 02:53:00,784,Loan Status,Completed,Escalated,0
95,1116,63,2025-03-18 05:34:00,983,Complaint,Completed,Resolved,1
96,2853,59,2025-06-15 02:34:00,953,Technical,Dropped,Escalated,0
97,3838,45,2025-04-20 04:21:00,212,Complaint,Completed,Escalated,1
98,2150,7,2025-06-05 23:47:00,384,Complaint,Escalated,Resolved,0
99,4464,89,2025-03-07 08:15:00,999,Technical,Dropped,Resolved,1
100,2931,80,2025-03-18 17:34:00,594,Billing,Completed,Resolved,1
101,2012,74,2025-06-18 16:15:00,1024,Billing,Dropped,Pending,0
102,2664,98,2025-06-03 07:44:00,57,Complaint,Dropped,Escalated,1
103,2081,22,2025-05-17 21:36:00,843,Product Inquiry,Dropped,Pending,1
104,1633,66,2025-06-13 18:40:00,480,Complaint,Escalated,Escalated,1
105,1512,91,2025-01-20 18:10:00,516,Complaint,Escalated,Resolved,1
106,4822,53,2025-03-25 20:31:00,236,Complaint,Completed,Escalated,1
107,3849,92,2025-05-05 02:49:00,708,Billing,Dropped,Pending,0
108,2119,76,2025-03-04 08:22:00,243,Billing,Dropped,Pending,0
