escalation_id,call_id,escalation_reason,escalated_to,escalation_date
1,68073,Policy Exception,Legal,2025-06-14 13:33:42
2,97033,High-value Customer,Backend Team,2025-01-10 21:47:35
3,53830,High-value Customer,Backend Team,2025-01-06 00:22:44
4,51269,Policy Exception,Legal,2025-06-09 07:46:45
5,46217,Policy Exception,Supervisor,2025-02-03 20:44:28
6,87804,Technical Issue,Supervisor,2025-01-20 00:28:48
7,50538,Repeated Issue,Supervisor,2025-02-28 16:17:11
8,85564,High-value Customer,Supervisor,2025-05-12 10:07:54
9,73923,Repeated Issue,Supervisor,2025-02-27 14:25:11
10,59076,Policy Exception,Legal,2025-06-12 04:02:54
11,49029,Policy Exception,Backend Team,2025-03-01 22:28:43
12,62512,Technical Issue,Supervisor,2025-02-11 13:51:32
13,33961,Repeated Issue,Supervisor,2025-02-07 16:00:02
14,62110,Policy Exception,Backend Team,2025-04-22 20:20:48
15,73180,Technical Issue,Supervisor,2025-05-21 13:49:39
16,86120,Policy Exception,Legal,2025-03-02 02:20:49
17,34223,High-value Customer,Supervisor,2025-05-18 22:50:02
18,93651,Technical Issue,Supervisor,2025-05-08 07:41:04
19,24066,Repeated Issue,Backend Team,2025-04-05 06:15:52
20,51768,Repeated Issue,Legal,2025-04-09 21:00:50
21,70466,Technical Issue,Backend Team,2025-06-15 11:50:12
22,28075,Policy Exception,Legal,2025-01-09 12:10:23
23,182,Technical Issue,Backend Team,2025-04-13 22:25:58
24,28554,Technical Issue,Supervisor,2025-03-30 22:06:31
25,15003,High-value Customer,Supervisor,2025-02-22 01:19:00
26,59704,Technical Issue,Backend Team,2025-04-11 12:25:31
27,38159,Policy Exception,Supervisor,2025-02-24 23:42:54
28,13510,High-value Customer,Supervisor,2025-02-24 14:00:51
29,5785,Technical Issue,Backend Team,2025-06-10 16:14:59
30,55856,Technical Issue,Supervisor,2025-04-16 02:17:13
31,42739,Policy Exception,Legal,2024-12-25 02:23:00
32,51050,Policy Exception,Supervisor,2025-03-18 09:36:41
33,43960,High-value Customer,Legal,2025-03-23 07:55:27
34,45415,High-value Customer,Supervisor,2025-02-25 11:07:28
35,75250,Policy Exception,Supervisor,2025-02-03 02:04:56
36,76931,Technical Issue,Supervisor,2025-02-06 03:04:08
37,28077,Policy Exception,Backend Team,2025-02-27 19:11:59
38,17097,Policy Exception,Backend Team,2025-05-22 07:57:01
39,24043,Technical Issue,Legal,2025-01-14 04:27:37
40,8520,Technical Issue,Supervisor,2025-02-09 13:58:04
41,59708,Technical Issue,Supervisor,2025-04-13 12:59:39
42,63421,Technical Issue,Backend Team,2025-03-17 17:33:15
43,9857,Policy Exception,Backend Team,2025-04-17 09:54:24
44,27064,Technical Issue,Supervisor,2025-01-03 19:47:00
45,55254,Policy Exception,Backend Team,2025-05-12 11:19:05
46,83482,High-value Customer,Supervisor,2025-05-25 11:02:18
47,55779,Repeated Issue,Legal,2025-05-27 18:41:36
48,86369,Technical Issue,Legal,2025-06-21 07:57:49
49,75255,High-value Customer,Supervisor,2025-02-05 11:13:53
50,64646,Policy Exception,Legal,2025-05-23 18:01:28
51,84811,Repeated Issue,Legal,2025-05-22 14:50:33
52,26517,High-value Customer,Supervisor,2025-01-26 02:21:41
53,40417,Policy Exception,Legal,2025-04-19 05:06:30
54,29064,Policy Exception,Legal,2025-04-25 06:10:03
55,93663,Policy Exception,Legal,2025-02-07 14:42:41
56,68479,Technical Issue,Backend Team,2025-05-21 20:13:39
57,74311,Technical Issue,Supervisor,2025-02-22 03:47:52
58,45295,High-value Customer,Legal,2025-04-02 00:12:14
59,68263,Repeated Issue,Backend Team,2024-12-31 03:09:24
60,26906,Technical Issue,Backend Team,2025-03-11 22:15:07
61,21734,Policy Exception,Supervisor,2024-12-26 15:13:19
62,92255,High-value Customer,Legal,2025-02-25 02:16:21
63,54672,High-value Customer,Backend Team,2025-04-14 07:24:18
64,89159,High-value Customer,Legal,2025-03-03 17:25:54
65,33053,Policy Exception,Supervisor,2024-12-29 19:26:35
66,83774,Policy Exception,Backend Team,2025-04-17 13:14:28
67,24061,Technical Issue,Legal,2025-06-13 06:52:00
68,40847,Technical Issue,Legal,2025-05-30 07:44:27
69,84202,High-value Customer,Backend Team,2025-05-22 09:07:56
70,21849,Policy Exception,Backend Team,2025-04-16 22:23:23
71,34677,Repeated Issue,Supervisor,2025-01-08 17:38:26
72,5652,Repeated Issue,Backend Team,2025-03-27 20:55:18
73,31886,High-value Customer,Legal,2025-03-01 04:36:48
74,38731,Repeated Issue,Legal,2025-04-21 17:13:45
